,Snow Lump,Bulto de Nieve
,Life hack: lumps of snow make for great pillows.,Life hack: los bultos de nieve son buenas almohadas.
,,
obj_furn_snow_lump_6,,
,Snow Lump,Bulto de Nieve
,"You get a snow lump, you get a snow lump, you get a snow lump, everybody gets a snow lump!","Tú tienes nieve, tú tienes nieve, tú tienes nieve, ¡todos tenemos nieve!"
,,
obj_furn_snow_lump_7,,
,Snow Lump,Bulto de Nieve
,I’m starting to miss the rocks.,Estoy empezando a extrañar las rocas.
,,
obj_furn_snow_lump_8,,
,Snow Lump,Bulto de Nieve
,"Snow-Chan, Snow-Kun, Lump-Tan...","Nieve-Chan, Nieve-Kun, Bulto-Tan..."
,,
obj_furn_snow_lump_9,,
,Snow Lump,Bulto de Nieve
,Still. More. Snow.,Aún. Más. Nieve.
,,
obj_furn_snow_lump_10,,
,Snow Lump,Bulto de Nieve
,"Really, what am I doing with my life?","En serio, ¿qué estoy haciendo con mi vida?"
,,
obj_furn_bed,,
,Bed,Cama
,This is where I spend most of my life.,Aquí es donde paso la mayor parte de mi vida.
,,
obj_furn_dakimakura,,
,Dakimakura,Dakimakura
,This is a totally normal body pillow. Don’t flip it over though.,Esta es una almohada completamente normal. Pero no le des la vuelta.
,,
obj_furn_fridge,,
,Mini-Fridge,Mini Nevera
,,
,,
obj_furn_bookshelf,,
,Bookshelf,Librería
,,
,,
obj_furn_dresser,,
,Dresser,Armario
,Who knows what might be inside.,Quién sabe lo que podría haber dentro.
,,
obj_furn_box,,
,Box,Caja
,,
,,
obj_furn_table,,
,Table,Mesa
,,
,,
obj_furn_desk,,
,Desk,Escritorio
,,
,,
obj_furn_kotatsu,,
,Kotatsu,Kotatsu
,"I could stay under here for days. Actually, I have.","Podría quedarme debajo de esto por días. De hecho, lo hice."
,,
obj_furn_seat,,
,Cushion,Almohadón
,,
,,
obj_furn_tatami,,
,Tatami Mat,Alfombra Tatami
,,
,,
obj_furn_lamp,,
,Lamp,Lámpara
,,
,,
obj_furn_plant,,
,Plant,Planta
,,
,,
obj_furn_cactus,,
,Cactus,Cactus
,"Don’t be mad at a cactus if it pokes you, It can’t help it.","No te enojes con el cactus si te pincha, no puede evitarlo."
,,
obj_furn_peperomia,,
,Peperomia Plant,Planta de Peperomia
,,
,,
obj_furn_snake_plant,,
,Snake Plant,Planta de la Serpiente
,"Luckily, there are no actual snakes in this plant.","Por suerte, no hay serpientes reales en esta planta."
,,
obj_furn_jade,,
,Jade Plant,Planta de Jade
,,
,,
obj_furn_flamingo,,
,Flamingo,Flamenco
,Hopefully flamingo-chan will scare away people like a guard dog.,Ojalá flamenco-chan asuste a las personas como si fuera un perro guardián.
,,
obj_furn_tissues,,
,Tissues,Pañuelos
,You can’t get sick if you never go outside!,¡No te enfermarás si nunca sales afuera!
,,
obj_furn_shelf,,
,Shelf,Estante
,,
,,
obj_furn_microwave,,
,Microwave,Microondas
,A microwave is a complete kitchen when all you eat is ramen!,¡Un microondas es una cocina completa cuando todo lo que comes es ramen!
,,
obj_furn_window,,
,Window,Ventana
,Please don’t use that! Someone might look inside.,"¡Por favor, no uses eso! Alguien podría mirar hacia dentro."
,,
obj_furn_picture,,
,Picture,Cuadro
,,
,,
obj_furn_calendar,,
,Calendar,Calendario
,I’ve gone almost three months without going outside. A new record!,He pasado casi tres meses sin salir afuera. ¡Un nuevo récord!
,,
obj_furn_tea,,
,Tea,Té
,Cheap and caffeinated.,Barato y con cafeína.
,,
obj_furn_computer,,
,Computer,Computadora
,This is where I keep my life.,Aquí es en donde retengo mi vida.
,,
obj_furn_carpet_circle,,
,Circular Carpet,Alfombra Circular
,,
,,
obj_furn_carpet_rect,,
,Rectangular Carpet,Alfombra Rectangular
,,
,,
obj_furn_buddha,,
,Buddha Statue,Estatua de Buda
,Buddha understood what it was like to live in isolation.,Buda entendía lo que era vivir en aislamiento.
,,
obj_furn_fox,,
,Fox Statue,Estatua de Zorro
,Like having a dog but without all the annoying responsibilities.,"Es como tener un perro, pero sin las molestas responsabilidades."
,,
obj_furn_rake,,
,Rake,Rastrillo
,What patterns should I make in the zen garden?,¿Qué patrones debería hacer en el jardín zen?
,,
obj_furn_poster_1,,
,Poster,Póster
,No hikikomori’s room is complete without cute posters!,¡La habitación de un hikikomori nunca está completa si no hay pósters bonitos!
,,
obj_furn_poster_2,,
,Poster,Póster
,,
,,
obj_furn_poster_3,,
,Poster,Póster
,,
,,
obj_furn_snowballs,,
,Snowballs,Bolas de Nieve
,I guess this is better than more snow lumps.,Supongo que esto es mejor que más bultos de nieve.
,,
obj_furn_shovel,,
,Shovel,Pala
,Shovel away the snow to get to more snow.,Cava un poco la nieve para obtener más nieve.
,,
obj_furn_sled,,
,Sled,Trineo
,"Who am I kidding, Im too lazy to actually use this.",¿A quién quiero engañar? Soy muy vaga para usar esto.
,,
obj_furn_cake,,
,Cake,Pastel
,I want it to feel like christmas all year!,¡Quiero que sentir que es navidad todo el año!
,,
obj_furn_chicken,,
,Fried Chicken,Pollo Frito
,It feels like christmas all year here in the arctic.,Se siente como si todo el año fuera navidad aquí en el ártico.
,,
obj_furn_fishing,,
,Fishing Pole,Caña de Pescar
,I’ll find something to eat other than ramen,Encontraré algo para comer que no sea ramen.
,,
obj_furn_snow_shoes,,
,Snow Shoes,Raquetas de Nieve
,,
,,
obj_furn_daruma,,
,Daruma Doll,Muñeco Daruma
,I’ll draw the other eye when I’ve overcome my social anxiety.,Dibujaré su otro ojo cuando supere mi ansiedad social.
,,
obj_furn_plush_bear,,
,Teddy Bear,Oso de Peluche
,"No, I’m not too old for stuffed animals.","No, no estoy vieja para los animales de peluche."
,,
obj_furn_plush_bear_white,,
,Teddy Polar Bear,Oso Polar de Peluche
,Actually just a regular stuffed bear that’s been in the snow for a while.,En realidad es un oso de peluche normal que estuvo un tiempo en la nieve.
,,
obj_furn_plush_onigiri,,
,Onigiri Plush,Onigiri de Peluche
,,
,,
obj_furn_plush_roll,,
,Sushi Roll Plush,Rollo Sushi de Peluche
,What’s better to cuddle with than food?,¿Qué es mejor que acurrucarse con comida?
,,
obj_furn_plush_sashimi,,
,Sushi Plush,Sushi de Peluche
,Not actually for eating.,No es comestible.
,,
obj_furn_plush_tanuki,,
,Tanuki Plush,Tanuki de Peluche
,I’m glad this tanuki plush doesn’t include the balls.,Menos mal que este tanuki de peluche no incluye las bolas.
,,
obj_furn_plush_fish,,
,Fish Plush,Pez de Peluche
,,
,,
obj_furn_plush_fugu,,
,Fugu Plush,Fugu de Peluche
,Puffy and soft unlike the real thing.,"Hinchadito y suave, a diferencia del real."
,,
obj_furn_famicom,,
,Game Console,Consola de Videojuegos
,Full of nostalgia.,Llena de nostalgia.
,,
obj_furn_cart,,
,Video Games,Videojuegos
,They don’t make games like they used to.,Ya no hacen juegos como los de antes.
,,
obj_furn_figure_1,,
,Figure,Figura
,This figure has a detachable Skirt! Not that I ever use it...,¡Esta figura tiene una Falda desmontable! No preguntes cómo lo sé...
,,
obj_furn_figure_2,,
,Figure,Figura
,"I just use this figure for drawing reference. It’s not sexual, I swear.","Solo uso esta figura como referencia para dibujar. No es sexual, lo juro."
,,
obj_furn_manga,,
,Manga,Manga
,A completed series.,Una serie completa.
,,
obj_furn_clothes_stack,,
,Clothes,Ropa
,,
,,
obj_furn_dirty_clothes,,
,Dirty Clothes,Ropa Sucia
,"Ok, maybe I’m a little messy but I still don’t like the stereotypes.","Bueno, quizás soy un poco desordenada, pero aún así no me gustan los estereotipos."
,,
obj_furn_pantsu,,
,Pantsu,Pantsu
,"No need to hunt for them, they’re right here!","No necesito buscarlas, ¡están justo aquí!"
,,
obj_furn_sock,,
,Sock,Calcetín
,,
,,
obj_furn_rack,,
,Rack,Percha
,,
,,
obj_furn_shirt,,
,White Shirt,Remera Blanca
,,
,,
obj_furn_shirt_yellow,,
,Yellow Shirt,Remera Amarilla
,,
,,
obj_furn_skirt,,
,Blue Skirt,Pollera Azul
,,
,,
obj_furn_skirt_red,,
,Red Skirt,Pollera Roja
,,
,,
obj_furn_maid_clothes,,
,Maid Clothes,Traje de Maid
,For cosplay purposes.,Para hacer cosplay.
,,
obj_furn_lantern,,
,Lantern,Linterna
,It has my name on it.,Tiene mi nombre en ella.
,,
obj_furn_katana,,
,Katana,Katana
,For hermit home protection.,Para proteger el hogar de una ermitaña.
,,
obj_furn_liquor,,
,Liquor,Licor
,Goes surprisingly well with ramen.,Queda sorprendentemente bien junto al ramen.
,,
obj_furn_pillow,,
,Pillow,Almohada
,"What, a pillow without anime girls on it?","Qué, ¿una almohada sin chicas anime en ella?"
,,
obj_furn_shamisen,,
,Shamisen,Shamisen
,I’ll finally have the time to learn an instrument now that I don’t have to worry about people.,"Ahora que no tengo que preocuparme por la gente, tendré tiempo para aprender a tocar un instrumento."
,,
obj_furn_coffee_1,,
,Canned Coffee,Café Enlatado
,Filled with milk and sugar. I can almost taste the coffee!,Con leche y azúcar. ¡Casi puedo saborear el café!
,,
obj_furn_coffee_2,,
,Black Coffee,Café Negro
,A bitter drink for grown ups.,Una bebida amarga para gente grande.
,,
obj_furn_water_jug,,
,Water Jug,Jarra de Agua
,I have to stock up on water so I am able to make instant ramen.,Tengo que ahorrar agua así puedo hacer ramen instantáneo.
,,
obj_furn_cans,,
,Empty Cans,Latas Vacías
,,
,,
obj_furn_ac,,
,Air Conditioner,Aire Acondicionado
,I keep the air very cold so I have a good excuse to never get out of bed.,"Mantengo el aire bien frío, así tengo una excusa para no levantarme de la cama."
,,
obj_furn_trash_can,,
,Trash Can,Bote de Basura
,,
,,
obj_furn_umbrella,,
,Umbrella,Paraguas
,My skin is really sensitive from never getting any sun.,Mi piel es realmente sensible debido a que nunca tomo sol.
,,
obj_furn_tv,,
,CRT TV,Televisión CRT
,The proper way to play games.,La forma adecuada de jugar videojuegos.
,,
obj_furn_laptop,,
,Laptop,Portátil
,A portable computer. Like for when you’re in bed.,Una computadora portátil. Como para cuando estás en la cama.
,,
obj_furn_zen_garden,,
,Zen Garden,Jardín Zen
,My plants can’t survive in a cave but that doesn’t mean I can’t have a garden.,"Mis plantas no pueden sobrevivir en una cueva, pero eso no significa que no pueda tener un jardín."
,,
obj_furn_ramen_stock_1,,
,Ramen Supply,Suplementos de Ramen
,The only food a person needs.,El único alimento que una persona necesita.
,,
obj_furn_ramen_stock_2,,
,Ramen Supply,Suplementos de Ramen
,"Shrimp flavored, everyone’s favorite.","Sabor camarón, el favorito de todo el mundo."
,,
obj_furn_ramen_stock_3,,
,Ramen Supply,Suplementos de Ramen
,Enough to last a month!,¡Hay suficiente para un mes!
,,
obj_furn_snowman,,
,Snowman,Muñeco de Nieve
,Way better than real people.,Mucho mejor que una persona real.
,,
obj_furn_power_generator,,
,Power Generator,Generador Eléctrico
,With this I can live comfortably anywhere!,¡Con esto puedo vivir cómodamente en cualquier sitio!
,,
obj_furn_torch,,
,Torch,Antorcha
,Who even needs electricity?,¿Quién necesita electricidad?
,,
obj_furn_cat,,
,Lucky Cat,Gato de la Suerte
,I feel lucky when no one tries to talk to me.,Me siento afortunada cuando nadie intenta hablar conmigo.
,,
obj_furn_clock,,
,Clock,Reloj
,It counts how much of my life I’ve wasted.,Cuenta cuánto tiempo de mi vida he desperdiciado.
,,
obj_furn_pinwheel,,
,Pinwheel,Molinillo
,,
,,
obj_furn_balloon,,
,Balloon,Globo
, , 
