,english,spanish
,My parents say I spent too much money on furniture. They’re cutting my allowance and aren’t going to pay my rent anymore...,Mis padres dicen que gasto mucho dinero en muebles. Van a quitarme la mesada y no seguirán pagando mi renta...
,,
chapter03_start_story,,
,"Soooo, I had to leave my apartment but it’s not that big a deal. In fact, I think this will be good for me!","Entoooonces, tuve que irme del apartamento. No es para tanto. ¡De hecho, creo que esto será bueno para mí!"
,Now I’ll have to learn how to exist like a normal person out in the real world.,Ahora tendré que aprender a existir en el mundo real como una persona normal.
,"I had some money saved up and I bought an amazing used trailer home for me to live in. Now when people try to talk to me, I can just drive away from them without having to leave the comfort of home!","Tenía algo de dinero ahorrado y compré un increíble tráiler usado para vivir. Ahora, cuando alguien intente hablar conmigo, ¡arrancaré el tráiler y me alejaré de ellos sin abandonar la comodidad de mi hogar!"
,"This new home may be small, but that also means it’s cute. How about we name it Trailer-Tan. Te he.","Esta nueva casa puede ser pequeña, pero eso significa que también es linda. ¿Qué tal si la llamamos Tráiler-Tan? Je je."
,,
chapter03_end_story,,
,Trailer-Tan is even cuter now that it’s all decorated!,¡Tráiler-Tan es incluso más linda ahora que está decorada!
,Living here is going to be so much-,Vivir aquí será muy-
,_,_
,"Someone is at the door, you know what that means!","Hay alguien en la puerta, ¡ya sabes lo que significa!"
,_,_
,,
chapter04_start_story,,
,"Wow, people sure are scary.","Wow, las personas sí que dan miedo."
,I think I may have gotten a bit carried away with my escape. I kept driving away until I ended up in the mountains with no gas.,"Creo que me dejé llevar un poco con mi escape. No dejé de conducir hasta terminar en las montañas, sin gasolina."
,"But you know what, running out of gas was a happy accident because I found this: A brand new home!",¿Pero sabes qué? Quedarme sin gasolina fue un accidente feliz porque encontré esto: ¡Una casa nueva!
,A mountain cave is an ideal home for a Hikikomori. I’ll be far away from society and I’ll never have to worry about socializing with people ever again!,Una cueva de montaña es una casa ideal para un Hikikomori. ¡Estaré lejos de la sociedad y nunca tendré que preocuparme por socializar con personas de nuevo!
,"Plus this cave is spacious, which means there is so much room to design with!","Además, esta cueva es espaciosa, ¡lo que significa que hay mucho lugar para diseñar!"
,"Living here, I’ll be just like a zen monk, or like Buddha! I won’t have to talk to anyone or worry about my social anxiety and it’ll be so much fun!","¡Viviendo aquí, seré como un monje zen o como Buda! ¡No tendré que hablar con nadie ni preocuparme por mi ansiedad social y será muy divertido!"
,,
chapter04_end_story,,
,"This design is really great, but you know, I’ve been thinking...","Este diseño está bastante bien, pero ya sabes, estuve pensando..."
,About this cave and all...,Sobre esta cueva y eso...
,There is still a chance that people will come here and try to socialize with me and that’s not a risk I should have to take. Just thinking about the possibility makes me anxious.,"Aún existe la posibilidad de que vengan personas aquí e intenten socializar conmigo, y ese no es un riesgo que quiera tomar. Solo pensar en eso me pone ansiosa."
,There must be a better way to live.,Debe haber una mejor forma de vivir.
,I can take things even further! I can leave society completely and never have to socialize at all! Then I’ll become the one true hikikomori!,¡Puedo llevar las cosas aún más lejos! ¡Puedo abandonar la sociedad completamente y nunca socializar de nuevo! ¡Así me convertiré en una verdadera hikikomori!
,I have an idea! Te he.,¡Tengo una idea! Je je.
,,
chapter05_start_story,,
,"Burr, it sure is cold.","Brr, sí que hace frío."
,"My new home is in the arctic!<br>Getting here sure was difficult, but now I’m completely separated from society!","¡Mi nueva casa es en el ártico!<br>Llegar aquí fue difícil, ¡pero ahora estoy completamente separada de la sociedad!"
,"The best part is that if someone tries to approach me, I’ll see them from miles away and I’ll have plenty of time to escape.","Lo mejor es que si alguien intenta acercarse a mí, lo veré a kilómetros de distancia y tendré tiempo de sobra para escapar."
,"Burr, I’m still not sure what to do about this weather though.","Brr, sigo sin saber qué hacer con este clima."
,"But you know, having a bit of chills is worth it to not have to worry about social anxiety!","Pero ya sabes, ¡tener algo de escalofríos vale la pena si significa no tener que preocuparse por la ansiedad social!"
,"This little iceberg is so cute, perfect for designing!","¡Este pequeño iceberg es muy lindo, perfecto para diseñar!"
,,
chapter05_end_story,,
,"This design is really great, but you know, I’ve been thinking...","Este diseño está bastante bien, pero ya sabes, estuve pensando..."
,"Burr, it REALLY is cold...","Brr, hace MUCHO frío..."
,It is worth it though right?,"Aunque vale la pena, ¿cierto?"
,Maybe there’s a better way to live.,Quizás hay una mejor forma de vivir.
,"Oh, I know how to fix this. My time alone in the mountains helped me to look inward and find my true self. I realized that if I just meditate and look within myself, I can overcome my physical body and not feel cold at all!","Oh, ya sé cómo solucionar esto. Mi tiempo a solas en las montañas me ayudó a hacer un análisis introspectivo y encontrar mi verdadero yo. ¡Me di cuenta de que si medito y observo mi interior, puedo superar mi cuerpo físico y no sentir frío en absoluto!"
,"If I can do that, living here will be perfect!","¡Si logro hacer eso, vivir aquí será perfecto!"
,Let’s try it.,Vamos a intentarlo.
,...,...
,...,...
,,
chapter06_start_story,,
,I finally figured it out! How to truly solve all my problems. Te he.,¡Al fin lo resolví! Cómo terminar con todos mis problemas. Je je.
,"The solution was not just to leave society, but to leave the physical world as well!","¡La solución no era solo abandonar la sociedad, sino también abandonar el mundo físico!"
,"From now on, I’ll live completely inside my mind and never have to worry about the real world ever again!","¡A partir de ahora, viviré dentro de mi mente y no tendré que preocuparme por el mundo real nunca más!"
,I’ve finally cured my social anxiety!,¡Al fin curé mi ansiedad social!
,"And on top of that, we have an infinite space to design with now. How fun!","Y además, ahora tenemos espacio infinito para diseñar. ¡Qué divertido!"
,,
chapter06_end_story,,
,"Isn’t it great, I can design in here forever!",¿No es genial? ¡Puedo diseñar aquí por siempre!
,"You know, I tried so hard in the past to be like a normal person but there was nothing I could do to make it work. My anxieties and abnormalities forced me into a state of isolation, but I’ve come to realize that that’s okay.","Sabes, en el pasado intenté ser una persona normal con todas mis fuerzas, pero nada de lo que intentara funcionaba. Mis ansiedades y anormalidades me forzaron a estar en un estado de aislamiento, pero me di cuenta que eso está bien."
,I’ve realized this really is the only way to live for a hikikomori like me.,Me di cuenta de que esta es la única manera de vivir para una hikikomori como yo.
,"Sure, I might get lonely from time to time, but I know now that it really is worth it. I finally cured myself of anxiety and can live comfortably like a normal person here inside the void beyond the physical world.","Sí, puedo sentirme algo solitaria cada cierto tiempo, pero ahora sé que vale la pena. Finalmente curé mi ansiedad y puedo vivir cómodamente como una persona normal aquí, dentro del vacío, más allá del mundo físico."
,"Thank you for being so understanding and helping me design such great homes. It’s a shame most of them didn’t work out better, but I’m fairly certain I can live at peace here for a long time.","Gracias por comprenderme y ayudarme a diseñar casas tan bonitas. Es una lástima que casi ninguna haya funcionado realmente, pero estoy bastante segura de que podré vivir en paz aquí por mucho tiempo."
,Feel free to come and visit anytime.,Siéntete libre de venir a visitarme cuando quieras.
,Goodbye.,Adiós.
,,
name_disc,,
,My name is Yamasen. It’s made out of the Chinese characters for mountain and hermit.,"Mi nombre es Yamasen. Está formado por los caracteres Chinos de ""montaña"" y ""ermitaño""."
,The character for hermit is even made from the symbols for person and mountain.,"El carácter de ermitaño está formado con los símbolos de ""persona"" y ""montaña""."
,"As a hikikomori, I sometimes fantasize about living far away from society in the cave of some distant mountain. Then I can really live up to my name!","Como una hikikomori, a veces fantaseo con vivir lejos de la sociedad en la cueva de alguna montaña distante. ¡Así podría darle honor a mi nombre!"
,,
groc_disc,,
,"Doing simple things like going outside can be difficult for a hikikomori. If I had my way, I’d never leave my home, but the need for things like food gets in the way.","Hacer cosas simples como salir afuera puede ser difícil para un hikikomori. Si fuera por mí no saldría nunca de mi casa, pero necesito cosas como comida."
,About once a month I take a trip to the store to stock up on instant ramen. I try to go when the least people are there.,"Sabes, en el pasado intenté ser una persona normal con todas mis fuerzas, pero nada de lo que hiciera funcionaba. Mis ansiedades y anormalidades me forzaron a estar en un estado de aislamiento, pero me di cuenta que eso está bien."
,"I know for most people going to the store is something they do without any worry, but for me, it’s a real struggle and takes a lot of courage. I’m jealous of the people who can do normal things without trying.","Sé que para la mayoría de personas ir a la tienda es algo fácil, pero para mí, es una verdadera lucha y requiere muchísimo coraje. Estoy celosa de las personas que pueden hacer cosas normales sin esfuerzo."
,I wonder if there is something I do easily that others struggle to do.,"Me pregunto si hay algo que yo haga fácilmente, pero que a otros les cueste."
,I don’t do anything though...,Aunque yo no hago nada realmente...
,Maybe that’s the thing!,¡Quizás esa es la cuestión!
,,
closet_disc,,
,"You may think I’m just hiding from my fears, but living inside a closet was a purely rational decision.","Tal vez pienses que solo me escondo de mis miedos, pero vivir dentro de un clóset fue una decisión puramente racional."
,"People say they want freedom, but I’m not sure if they really do. Freedom is scary, so people give it up all the time. People turn to government, religion, and ideologies and pledge allegiances of all kinds just for the chance to not be free.","La gente dice que quiere libertad, pero no creo que sea así. La libertad da miedo, por lo que la gente renuncia a ella todo el tiempo. Las personas recurren al gobierno, a la religión y a las ideologías, y juran lealtad con tal de no ser libres."
,"People need comfort that the real world rarely provides. Even fully grown adults sleep in the fetal position, coddled under blankets. They’re seeking the comfort of the womb, the comfort of not having any real freedom.","La gente necesita confort que el mundo real raramente provee. Incluso gente adulta duerme en posición fetal, acurrucados bajo las mantas. Están buscando el confort del útero, el confort de no tener ningún tipo de libertad."
,So it’s perfectly normal for me to live in this tiny closet.,Así que es completamente normal que yo viva en este pequeño clóset.
,,
retire_disc,,
,"My dream job is to be retired. To me, that sounds like living the dream.","Mi trabajo ideal es ser jubilada. Para mí, eso suena como vivir el sueño."
,"Not only does a retired person not have to work, but if they’re elderly they have great excuses to not do all the things I don’t like.","Además de que una persona jubilada no tiene que trabajar, si son ancianos tienen excusas para no hacer todas las cosas que no me gustan hacer."
,"When I become a retired old woman, no one will judge me when I don’t have the energy to get up in the morning or to go outside or interact with people.","Cuando me convierta en una anciana jubilada, nadie me juzgará cuando no tenga la energía para levantarme por la mañana, o salir afuera, o interactuar con personas."
,"I’ll be able to live peacefully and quietly alone, staying inside and not having to worry about what people think.","Podré vivir sola, en paz y silencio, quedándome en casa y sin preocuparme sobre lo que piensen los demás."
,Do you think it’s possible to retire without ever working to begin with?,¿Crees que sea posible jubilarse sin siquiera haber trabajado?
,,
rv_disc,,
,"You may think it’s weird for me to be going from home to home, but you know, humans used to be nomadic creatures that would constantly change location.","Tal vez pienses que es raro que vaya de casa en casa, pero ya sabes, los humanos solíamos ser criaturas nómadas que constantemente cambiaban de ubicación."
,"I’m kinda like a nomad, but instead of moving with a community, I move my home to wherever the community isn’t.","Soy algo así como una nómada, pero en vez de mudarme junto a una comunidad, me mudo a cualquier lugar donde no esté la comunidad."
,,
cave_cheese_disc,,
,Did you know that the American government used to have caves filled with millions of pounds worth of cheese?,¿Sabías que el gobierno Americano solía tener cuevas llenas de millones de kilos de queso?
,"I wish I were living in that cave instead of this one, then all my needs would be met for free!","Desearía vivir en una cueva así en vez de en esta, ¡así todas mis necesidades estarían cubiertas sin gastar dinero!"
,"Ramen is a lot better than cheese though, so I guess I’m happy with this home too.","Aunque el ramen es mucho mejor que el queso, así que supongo que estoy feliz con esta casa también."
,,
cave_disc_2,,
,"If I’m being honest, I’ve thought about living in a cave before, or more like fantasized about it.","Si te soy honesta, había pensado en vivir en una cueva antes. Mejor dicho, había fantaseado con eso."
,"Living in a cave, I’ll never have to work or pay rent or deal with any of the normal life problems. It really is a perfect home for a Hikikomori!","Viviendo en una cueva, nunca tendré que trabajar, pagar renta o lidiar con cualquier problema de la vida normal. ¡De verdad es una casa perfecta para un hikikomori!"
,"Plus, now that I don’t have to worry about normal problems, I have so much time to do fun stuff like ah... um...","Además, ahora que no tengo que preocuparme por problemas normales, tengo más tiempo para hacer cosas divertidas como... eh... um... "
,"Well, I guess I can’t do much of anything here. I don’t have internet or TV and I’m definitely not going to do stuff outside.","Bueno, supongo que no puedo hacer mucho aquí. No tengo internet ni televisión, y en definitiva no voy a salir a hacer cosas fuera."
,"That’s okay though, nothing is one of my favorite things to do!","Aunque está bien, ¡no hacer nada es una de mis cosas favoritas!"
,,
arctic_disc,,
,"I may be safe from socialization for now, but there is still a concern for the future.","Puedo estar a salvo de la socialización por ahora, pero aún me preocupa el futuro."
,The population keeps on growing and growing and with that people inhabit more and more land. One day they might start building cities in the arctic and all my problems will come right back.,"La población sigue creciendo y creciendo, y por eso la gente habita cada vez más tierras. Algún día podrían incluso construir ciudades en el ártico, y todos mis problemas volverían."
,Who knows if there will be any place left to live alone?,¿Quién sabe si quedará algún lugar donde pueda vivir sola?
,,
void_disc,,
,"It’s great that I transcended my physical form, but now I’m curious about what my body is doing.","Es genial haber trascendido mi forma física, pero ahora tengo curiosidad por saber qué está haciendo mi cuerpo."
,I guess my body is still sitting on that iceberg and doing nothing.,"Supongo que mi cuerpo sigue sentado en ese iceberg, sin hacer nada."
,"Maybe that’s why I’ve been so successful at this whole meditation thing, I have so much experience doing nothing.","Quizás es por eso que me ha ido tan bien con la meditación, porque tengo mucha experiencia cuando se trata de no hacer nada."
,"Who knew that when I was a hikikomori and being depressed and doing nothing, I was actually developing a skill! That’s so cool!","¿Quién se habría imaginado que cuando era una hikikomori con depresión que no hacía nada, en realidad estaba desarrollando una habilidad? ¡Es tan genial!"
,,
void_disc_2,,
,"I’ve tried to hide away at the ends of the earth to get away from society and all the problems it causes me, but there really is no hope for that. Humans have a way of expanding and slowly taking over the world.","Intenté esconderme en los confines de la tierra para alejarme de la sociedad y todos los problemas que me causa, pero en realidad iba a lograr nada. Los humanos tienen una forma de expandirse que toma el mundo lentamente."
,"Humanity has populated deserts and tundra and torn down parts of the natural world all to have more room to live. We even have giant, vertical buildings because there isn’t enough room on the real ground to hold everyone.","La humanidad ha poblado desiertos y tundras, y ha destrozado partes del mundo natural solo para tener más lugares donde vivir. Incluso tenemos construcciones gigantes en forma vertical porque no hay suficiente espacio en el suelo para todos. "
,"Even If I could hide away on some distant planet it wouldn’t even matter. Eventually, humanity would catch up to me and I would have to find a new place to hide.","Incluso si pudiera esconderme en algún planeta distante, no importaría. En algún momento la humanidad me alcanzaría y tendría que buscar un nuevo lugar donde esconderme."
,That’s why this solution of leaving the physical realm is the only way left to live for someone like me.,"Por eso, la única forma de vivir que le queda a alguien como yo es dejar el reino físico."
,,
bed_disc,,
,"I usually spend my time doing the normal things hikikomori do like watching anime and playing video games. At least, that’s on the days I can actually get out of bed.","Suelo pasar el tiempo haciendo cosas normales que haría un hikikomori, como ver anime y jugar videojuegos. Al menos eso hago cuando logro levantarme de la cama."
,"Now that I think about it, I spend most of my time doing nothing at all.","Ahora que lo pienso, paso la mayor parte de mi tiempo sin hacer nada en absoluto."
,"I know this isn’t necessarily the most fulfilling lifestyle and I’ve tried to change that. Once in a while, I get a surge of motivation to completely change my life, but it always ends in failure pretty quickly and I return to old habits.","Sé que este no es necesariamente el estilo de vida más satisfactorio y he tratado de cambiar eso. De vez en cuando me motivo a cambiar mi vida por completo, pero rápidamente termina en fracaso y vuelvo a mis viejos hábitos."
,I worry that one day my parents will stop supporting me financially and I’ll be forced to be like a normal person. The thought is so paralyzing that it prevents me from getting out of bed some days.,Me preocupa que algún día mis padres dejen de apoyarme económicamente y me vea forzada a ser como una persona normal. Ese pensamiento es tan paralizante que a veces me impide levantarme de la cama.
,,
dakimakura_disc,,
,Being a hikikomori can be pretty lonely sometimes. I’m not good at interacting with other people but that doesn’t mean I don’t want to be around them.,"Ser una hikikomori puede ser bastante solitario a veces. No soy buena interactuando con otras personas, pero eso no significa que no quiera estar alrededor de ellas."
,But there must be a lot of people like me which is why something like the dakimakura exists!,"¡Pero deben haber muchas personas como yo, y por eso existen los dakimakuras!"
,A dakimakura is a body pillow with a picture of anime characters on it. The phenomenon has become more and more popular. One guy even married his dakimakura!,"Un dakimakura es una almohada larga con la imagen de un personaje anime en ella. El fenómeno se ha vuelto cada vez más popular. ¡Incluso, un chico se casó con su dakimakura!"
,"After a while of cuddling my dakimakura, I can start to feel a little bit pathetic, but then I fall asleep.","Después de un tiempo abrazando a mi dakimakura puedo empezar a sentirme algo patética, pero luego me quedo dormida."
,,
uniform_disc,,
,Seeing my old school uniform here gets me thinking about my school days.,Ver mi viejo uniforme escolar me recuerda a cuando iba a la escuela.
,"It’s impossible to be a true hikikomori while attending school, but my isolating tendencies were still there. As soon as I graduated from school and went into the real world my hikikomori side grew full-fledged.","Era imposible ser una hikikomori de verdad mientras iba a la escuela, pero mis tendencias de aislamiento estaban ahí. Tan pronto como me gradué y entré al mundo real, mi lado hikikomori creció por completo."
,"Even though I was awkward and didn’t fit in and really didn’t like school, I sometimes reminisce on those days because at least back then I could handle being around other people.","A pesar de que yo era rara, no encajaba y no me gustaba la escuela, a veces recuerdo esos días con melancolía porque al menos en ese entonces podía soportar estar alrededor de otras personas."
,I’m not sure if it’s better to be lonely around people or lonely by yourself.,No estoy segura de si es mejor estar sola entre personas o sola por mi cuenta.
,,
cactus_disc,,
,I can relate a lot to cacti.,Me siento muy identificada con cacti.
,Cacti are built for isolation. They can go a really long time without water and they live alone in the desert far from anyone that can intrude upon them. They even have spikes to fend people off with.,"Los cactus fueron creados para el aislamiento. Pueden pasar mucho tiempo sin agua y viven solos en el desierto, lejos de cualquiera que pueda inmiscuirse en ellos. Incluso tienen espinas para defenderse de la gente."
,But having a protective exterior only means that there is something sensitive on the inside worth protecting. Inside the cactus is sweet juice after all.,"Pero tener un exterior protector solo significa que hay algo sensible en el interior que vale la pena proteger. Después de todo, los cactus tienen jugo dulce dentro de ellos."
,"A cactus is built for isolation, but I think it really just wants a hug. they even have arms, though they can’t move them.","Un cactus ha sido creado para el aislamiento, pero creo que en realidad solo quiere un abrazo. Incluso tiene brazos, aunque no puede moverlos."
,,
ramen_disc,,
,"I’ve always wanted to retreat from society, but it’s hard to get by without things like money and food. The perfect solution is to stockpile my favorite food: instant ramen.","Siempre quise retirarme de la sociedad, pero es difícil hacerlo sin cosas como dinero o comida. La solución perfecta es almacenar mi comida favorita: ramen instantáneo."
,"A pack of instant ramen cost 13 cents. If I eat that for every meal, that’s 39 cents per day. If I do this every day, a year’s food supply is only 142 dollars. How cheap!","Un paquete de ramen instantáneo cuesta 13 centavos. Si como eso en cada comida, son 39 centavos por día. Si hago esto todos los días, el suministro de alimentos para un año costaría solo 142 dólares. ¡Qué barato!"
,"If I can expect to live for about 60 more years, the entire food cost for the rest of my life is about 8500 dollars.","Si puedo esperar vivir unos 60 años más, el costo total de lo que coma durante el resto de mi vida sería de unos 8500 dólares."
,"Just think, for only a few thousand dollars all my worries can go away, and I can live in peace here for the rest of my life!","¡Solo piénsalo, por solo unos miles de dólares todas mis preocupaciones desaparecerán, y podré vivir en paz aquí el resto de mi vida!"
,,
fugu_disc,,
,Did you know people eat a poisonous fish called Fugu?,¿Sabías que las personas comen un pez venenoso llamado Fugu?
,It’s considered a delicacy and costs a lot of money. Can you imagine spending a bunch of money on food that could kill you?,Es considerado un manjar y cuesta muchísimo dinero. ¿Te imaginas gastar tanto dinero en comida que podría matarte?
,It makes me wonder if it even tastes good or if people eat it just for the thrill of it.,Me pregunto si sabe bien o si la gente lo come solo por la adrenalina.
,"Meanwhile, I’m too scared to even talk to a single person...","De todos modos, estoy demasiado asustada para siquiera hablar con alguien..."
,"Well, I think I’ll stick to eating instant ramen.","Bueno, supongo que me quedaré con mi ramen instantáneo."
,,
simple_life_disc,,
,Is it silly to yearn for a simpler way of life?,¿Es tonto anhelar una forma de vida más sencilla?
,I often wonder if people would be happier without all the innovations that brought about modern society.,Frecuentemente me pregunto si la gente sería más feliz sin todas las innovaciones que trajo consigo la sociedad moderna.
,"I’m sure life was still hard in the olden days, but I think it was easier for people to find meaning and value in living. Things have gotten so complicated no one knows where they are or what they’re doing anymore.","Estoy segura de que la vida también era difícil en los viejos tiempos, pero creo que era más fácil encontrarle un significado y valor a la vida. Las cosas se han vuelto tan complicadas que ya nadie sabe dónde están o qué están haciendo."
,"I fantasize about leaving the city to become a farmer or something, but I never do. I know that’s not realistic and is just wishful thinking. Maybe there is no escape from the fundamental problems of life.","Fantaseo con abandonar la ciudad, convertirme en una granjera o cosas así, pero nunca lo haré. Sé que no es realista y solo son ilusiones. Quizás no haya forma de escapar de los problemas fundamentales de la vida."
,,
daoism_disc,,
,Are you familiar with Daoism?<br>I’ve been thinking of becoming a Daoist.,¿Conoces el Daoísmo?<br>He estado pensando en convertirme en una Daoísta.
,"Daoists believe in the way of non-action, or in other words: doing nothing!","Los Daoístas creen en el camino de la no-acción, o en otras palabras: ¡no hacer nada!"
,The great leaders and sages of the religion were hermits who escaped society to live in nature alone and understand the value of nothing. Doesn’t that sound great!,Los grandes líderes y sabios de la religión fueron ermitaños que escaparon de la sociedad para vivir solos en la naturaleza y comprender el valor de la nada. ¿Acaso no suena genial?
,"Daoism really is the best religion for a hikikomori, and no, I’m not just using it as an excuse to not confront my problem.","El Daoísmo es la mejor religión para un hikikomori, y no, no lo estoy usando solo como excusa para no enfrentar mi problema."
